id	name	domain	sub	tier	tgt	heat	sig_date	sig_score	sig_cnt	owner
300361949930	Freyr	freyr-ai.sg	AI Infrastructure providers - 	tier_1		Cold				159350430
301240503024	FriendliAI	friendli.ai	Tier 1 Inference - Neocloud	tier_2		Cold				162339176
301316953844	G42	g42.ai	Sovereign AI Clouds - Neocloud	tier_1	T	Cool	2026-05-15	21	1	159350430
324071115455	Galaxy Digital	galaxydigital.io	Crypto to AI - Neoclouds	tier_1	T	Warm	2026-05-05	27	1	161889085
253733597934	Gcore	gcore.com	AI Infrastructure providers - 	tier_1		Cold				159350430
240392277690	Genesis Cloud	genesiscloud.com	AI Infrastructure providers - 	tier_1	T	Cold				159350430
298009434842	GMI Cloud	gmicloud.ai	AI Infrastructure providers - 	tier_1		Cool	2026-06-03	18	1	162339176
297940265692	GMO Internet Group	gmo.jp	Sovereign AI Clouds - Neocloud	tier_1		Cold				159350430
303405064911	Greenidge Generation	greenidge.com	Crypto to AI - Neoclouds	tier_1	T	Warm	2026-05-18	33	1	161889085
314532044490	GreenNode	greennode.ai	Large Scale GPU - Neocloud	tier_1		Cold				159350430
240390403774	Groq	groq.com	Tier 1 Inference - Neocloud	tier_2		Cool	2026-05-28	8	1	162339176
240444307193	Highreso	highreso.jp	AI Infrastructure providers - 	tier_1		Cold				159350430
244551342805	Hive Digital Technologies	hiveblockchain.com	Crypto to AI - Neoclouds	tier_1	T	Cool	2026-03-18	18	1	159350430
296880096971	HostKey	hostkey.com	AI Infrastructure providers - 	tier_1		Cold				159350430
326166215417	Hot Aisle	hotaisle.xyz	AI Infrastructure providers - 	tier_1	T	Cold				161889085
303287302902	HUMAIN	humain.ai	Sovereign AI Clouds - Neocloud	tier_1		Cold				159350430
324208873163	Hut 8	hut8.com	Crypto to AI - Neoclouds	tier_1	T	Warm	2026-06-04	33	1	161889085
298002235111	Hydra Host	hydrahost.com	AI Infrastructure providers - 	tier_1		Cold				161889085
314352890581	Hyperbolic	hyperbolic.ai	Tier 1 Inference - Neocloud	tier_2	T	Cold				162339176
297984383722	Hyperstack (NexGen Cloud)	hyperstack.cloud	Large Scale GPU - Neocloud	tier_1	T	Cold				159350430
311548817114	Hypertec	hypertec.com	Large Scale GPU - Neocloud	tier_1		Cold				159350430
326694120171	iGenius	igenius.ai	Sovereign AI Clouds - Neocloud	tier_1		Cold				159350430
311381571269	Impossible Cloud	impossiblecloud.com	AI Infrastructure providers - 	tier_1		Cold				159350430
303423198924	Indosat Lintasarta GPU Merdeka	indosatlintasarta.com	Sovereign AI Clouds - Neocloud	tier_1		Cold				159350430
317273591519	Inference.net	inference.net	Tier 1 Inference - Neocloud	tier_1	T	Cold				162339176
